,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
305,4.565,0.645,0.382,0.515,0.398,0.085,0.265,Moderately Happy
306,4.404,0.74,0.292,0.451,0.403,0.087,0.25,Moderately Happy
307,4.315,0.792,0.754,0.455,0.47,0.232,0.092,Moderately Happy
308,4.19,0.721,0.747,0.485,0.539,0.172,0.093,Moderately Happy
309,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Moderately Happy
310,5.399,0.828,1.087,0.638,0.466,0.0,0.515,Moderately Happy
311,5.314,0.951,0.876,0.494,0.392,0.003,0.565,Moderately Happy
312,5.262,0.996,1.274,0.492,0.443,0.612,0.015,Moderately Happy
313,5.093,0.899,1.215,0.522,0.538,0.484,0.018,Moderately Happy
314,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Moderately Happy
315,4.686,1.009,0.544,0.698,0.3,0.059,0.381,Moderately Happy
316,4.813,1.118,0.389,0.642,0.225,0.056,0.385,Moderately Happy
317,4.692,1.157,0.712,0.639,0.249,0.387,0.049,Moderately Happy
318,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Moderately Happy
319,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Moderately Happy
320,4.677,0.985,0.819,0.602,0.0,0.138,0.179,Moderately Happy
321,4.575,1.075,0.592,0.511,0.249,0.136,0.196,Moderately Happy
322,4.497,1.103,0.979,0.501,0.289,0.2,0.107,Moderately Happy
323,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Moderately Happy
324,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Moderately Happy
325,6.94,1.336,1.369,0.895,0.618,0.287,0.459,Happy
326,6.907,1.483,1.162,0.815,0.54,0.298,0.45,Happy
327,6.977,1.536,1.558,0.81,0.573,0.428,0.298,Happy
328,6.977,1.448,1.583,0.876,0.614,0.307,0.306,Happy
329,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Happy
330,7.278,1.229,1.224,0.914,0.413,0.078,0.332,Happy
331,7.267,1.338,0.995,0.849,0.364,0.087,0.323,Happy
332,7.213,1.375,1.376,0.838,0.406,0.33,0.085,Happy
333,6.814,1.301,1.559,0.883,0.533,0.354,0.272,Happy
334,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Happy
335,5.948,1.251,1.198,0.954,0.262,0.029,0.228,Moderately Happy
336,5.977,1.355,1.042,0.851,0.188,0.026,0.167,Moderately Happy
337,5.964,1.395,1.445,0.853,0.256,0.173,0.028,Moderately Happy
338,6.0,1.264,1.501,0.946,0.281,0.137,0.028,Happy
339,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Happy
340,3.655,0.465,0.771,0.152,0.469,0.179,0.202,Not Happy
341,3.916,0.555,0.576,0.045,0.407,0.155,0.203,Not Happy
342,4.18,0.603,0.905,0.049,0.448,0.201,0.13,Moderately Happy
343,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Moderately Happy
344,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Moderately Happy
345,5.709,0.81,1.151,0.687,0.504,0.023,0.212,Moderately Happy
346,5.51,0.893,0.964,0.595,0.436,0.043,0.222,Moderately Happy
347,5.311,0.926,1.368,0.641,0.474,0.234,0.055,Moderately Happy
348,5.89,0.819,1.493,0.693,0.575,0.096,0.031,Moderately Happy
349,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Moderately Happy
350,5.987,1.271,1.257,0.991,0.496,0.181,0.107,Moderately Happy
351,5.921,1.38,1.061,0.915,0.468,0.19,0.102,Moderately Happy
352,5.92,1.417,1.436,0.913,0.506,0.121,0.164,Moderately Happy
353,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Moderately Happy
354,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Moderately Happy
355,5.192,0.902,1.054,0.696,0.407,0.143,0.111,Moderately Happy
356,5.303,0.997,0.862,0.607,0.36,0.133,0.143,Moderately Happy
357,5.336,0.991,1.239,0.605,0.418,0.172,0.12,Moderately Happy
358,5.161,0.822,1.265,0.645,0.468,0.13,0.134,Moderately Happy
359,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Moderately Happy
360,5.855,1.123,1.122,0.644,0.516,0.085,0.118,Moderately Happy
361,5.919,1.229,0.955,0.574,0.405,0.111,0.15,Moderately Happy
362,5.819,1.285,1.384,0.606,0.437,0.202,0.119,Moderately Happy
363,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Moderately Happy
364,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Moderately Happy
365,4.419,0.365,0.999,0.414,0.422,0.058,0.375,Moderately Happy
366,4.356,0.523,0.762,0.301,0.406,0.067,0.413,Moderately Happy
367,4.553,0.56,1.068,0.31,0.453,0.445,0.065,Moderately Happy
368,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Moderately Happy
369,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Moderately Happy
370,5.589,0.801,0.812,0.631,0.247,0.047,0.283,Moderately Happy
371,5.401,0.901,0.661,0.54,0.144,0.065,0.28,Moderately Happy
372,5.279,0.951,1.138,0.541,0.26,0.32,0.057,Moderately Happy
373,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Moderately Happy
374,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Happy
375,6.295,1.554,1.166,0.725,0.555,0.256,0.162,Happy
376,6.239,1.617,0.878,0.636,0.432,0.237,0.16,Happy
377,6.105,1.633,1.26,0.632,0.496,0.228,0.215,Happy
378,6.083,1.474,1.301,0.675,0.554,0.167,0.106,Happy
379,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Happy
380,5.286,0.474,1.151,0.651,0.435,0.042,0.3,Moderately Happy
381,5.185,0.56,0.954,0.554,0.402,0.048,0.384,Moderately Happy
382,5.004,0.596,1.394,0.553,0.455,0.429,0.039,Moderately Happy
383,5.131,0.53,1.416,0.594,0.54,0.281,0.035,Moderately Happy
