,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
447,27.0,6.527,1.343,1.488,0.822,0.589,0.575,0.153,1,purple
448,22.0,6.627,1.27,1.525,0.884,0.645,0.376,0.142,1,purple
449,22.0,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1,purple
450,124.0,4.436,0.454,0.869,0.359,0.242,0.175,0.219,0,pink
451,130.0,4.201,0.614,0.841,0.286,0.127,0.18,0.227,0,pink
452,123.0,4.292,0.648,1.272,0.285,0.096,0.202,0.137,0,pink
453,126.0,4.356,0.557,1.245,0.292,0.129,0.134,0.093,0,pink
454,122.0,4.49,0.57,1.167,0.489,0.066,0.106,0.088,0,pink
455,71.0,5.477,1.008,0.985,0.71,0.561,0.075,0.377,2,dark purple
456,66.0,5.648,1.144,0.757,0.662,0.461,0.052,0.37,2,dark purple
457,64.0,5.629,1.189,1.21,0.638,0.491,0.361,0.042,2,dark purple
458,55.0,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2,dark purple
459,57.0,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2,dark purple
460,14.0,7.187,1.021,0.915,0.814,0.482,0.213,0.141,1,purple
461,21.0,6.778,1.115,0.715,0.711,0.377,0.184,0.117,1,purple
462,25.0,6.578,1.153,1.211,0.71,0.413,0.121,0.133,1,purple
463,24.0,6.488,1.038,1.252,0.761,0.479,0.069,0.095,1,purple
464,23.0,6.595,1.07,1.323,0.861,0.433,0.074,0.073,1,purple
465,52.0,5.889,0.594,1.015,0.618,0.328,0.016,0.21,2,dark purple
466,55.0,5.897,0.692,0.831,0.523,0.252,0.019,0.2,2,dark purple
467,56.0,5.838,0.729,1.252,0.589,0.241,0.209,0.01,2,dark purple
468,67.0,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2,dark purple
469,71.0,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2,dark purple
470,100.0,4.874,0.828,1.301,0.603,0.436,0.027,0.332,2,dark purple
471,101.0,4.907,0.989,1.09,0.555,0.36,0.033,0.345,2,dark purple
472,100.0,4.955,1.027,1.493,0.558,0.394,0.338,0.033,2,dark purple
473,94.0,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2,dark purple
474,83.0,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2,dark purple
475,82.0,5.192,0.974,0.906,0.725,0.183,0.143,0.161,2,dark purple
476,88.0,5.161,1.078,0.742,0.635,0.151,0.127,0.172,2,dark purple
477,83.0,5.237,1.121,1.238,0.667,0.195,0.198,0.088,2,dark purple
478,81.0,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2,dark purple
479,73.0,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2,dark purple
480,92.0,5.013,0.735,0.641,0.61,0.417,0.085,0.072,2,dark purple
481,90.0,5.151,0.841,0.386,0.595,0.256,0.084,0.041,2,dark purple
482,84.0,5.235,0.878,0.775,0.598,0.408,0.032,0.088,2,dark purple
483,85.0,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2,dark purple
484,89.0,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2,dark purple
485,94.0,4.971,0.083,1.026,0.091,0.34,0.156,0.223,2,dark purple
486,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
487,113.0,4.55,0.234,0.871,0.107,0.481,0.322,0.179,0,pink
488,123.0,4.417,0.198,0.902,0.173,0.531,0.206,0.158,0,pink
489,123.0,4.466,0.204,0.986,0.39,0.494,0.197,0.138,0,pink
490,129.0,4.307,0.271,0.709,0.482,0.44,0.19,0.796,0,pink
491,119.0,4.395,0.341,0.7,0.399,0.427,0.202,0.82,0,pink
492,114.0,4.545,0.367,1.123,0.398,0.514,0.838,0.189,0,pink
493,130.0,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0,pink
494,131.0,4.36,0.71,1.181,0.555,0.525,0.566,0.172,0,pink
495,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
496,113.0,4.574,0.933,0.704,0.347,0.486,0.104,0.078,0,pink
497,111.0,4.574,0.964,1.098,0.339,0.52,0.077,0.093,0,pink
498,119.0,4.441,0.874,1.281,0.365,0.519,0.051,0.064,0,pink
499,113.0,4.639,0.879,1.313,0.477,0.401,0.07,0.056,0,pink
500,121.0,4.514,0.36,0.864,0.569,0.383,0.059,0.323,0,pink
501,107.0,4.793,0.446,0.697,0.501,0.37,0.07,0.382,0,pink
502,99.0,4.962,0.48,1.179,0.504,0.44,0.394,0.073,2,dark purple
503,101.0,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2,dark purple
504,100.0,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2,dark purple
505,7.0,7.378,1.329,1.28,0.893,0.616,0.318,0.476,1,purple
506,7.0,7.339,1.465,1.029,0.812,0.552,0.299,0.474,1,purple
507,6.0,7.377,1.504,1.429,0.811,0.585,0.47,0.283,1,purple
508,6.0,7.441,1.361,1.488,0.878,0.638,0.333,0.295,1,purple
509,5.0,7.488,1.396,1.522,0.999,0.557,0.322,0.298,1,purple
510,9.0,7.286,1.25,1.32,0.908,0.639,0.429,0.475,1,purple
511,8.0,7.334,1.361,1.173,0.831,0.581,0.419,0.494,1,purple
512,8.0,7.314,1.406,1.548,0.817,0.614,0.5,0.383,1,purple
513,8.0,7.324,1.268,1.601,0.876,0.669,0.365,0.389,1,purple
514,8.0,7.307,1.303,1.557,1.026,0.585,0.33,0.38,1,purple
515,57.0,5.828,0.593,1.142,0.743,0.555,0.193,0.278,2,dark purple
516,48.0,5.992,0.694,0.895,0.652,0.466,0.163,0.298,1,purple
517,43.0,6.071,0.737,1.287,0.653,0.448,0.302,0.131,1,purple
518,41.0,6.141,0.668,1.319,0.7,0.527,0.208,0.128,1,purple
519,45.0,6.105,0.694,1.325,0.835,0.435,0.2,0.127,1,purple
520,144.0,3.845,0.069,0.773,0.297,0.477,0.156,0.194,0,pink
521,142.0,3.856,0.133,0.605,0.262,0.38,0.172,0.21,0,pink
522,135.0,4.028,0.162,0.993,0.269,0.364,0.229,0.139,0,pink
523,134.0,4.166,0.131,0.867,0.221,0.39,0.175,0.099,0,pink
524,114.0,4.628,0.138,0.774,0.366,0.318,0.188,0.102,0,pink
525,78.0,5.268,0.654,0.904,0.16,0.343,0.04,0.272,2,dark purple
526,103.0,4.875,0.752,0.645,0.051,0.279,0.031,0.232,2,dark purple
527,95.0,5.074,0.784,1.216,0.057,0.395,0.231,0.026,2,dark purple
528,91.0,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2,dark purple
529,85.0,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2,dark purple
530,93.0,5.007,0.919,1.002,0.735,0.335,0.053,0.224,2,dark purple
531,95.0,5.121,1.019,0.782,0.647,0.277,0.07,0.235,2,dark purple
532,92.0,5.175,1.065,1.208,0.645,0.326,0.254,0.06,2,dark purple
533,89.0,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2,dark purple
534,84.0,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2,dark purple
535,66.0,5.695,1.208,1.07,0.924,0.49,0.143,0.262,2,dark purple
536,62.0,5.771,1.311,0.818,0.841,0.436,0.166,0.263,2,dark purple
537,61.0,5.81,1.347,1.186,0.835,0.471,0.267,0.155,2,dark purple
538,58.0,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2,dark purple
539,64.0,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2,dark purple
540,4.0,7.522,1.459,1.331,0.885,0.67,0.365,0.347,1,purple
541,4.0,7.498,1.577,1.127,0.796,0.596,0.358,0.379,1,purple
542,1.0,7.537,1.616,1.534,0.797,0.635,0.362,0.316,1,purple
543,2.0,7.594,1.456,1.582,0.861,0.686,0.286,0.34,1,purple
544,3.0,7.554,1.488,1.582,1.028,0.603,0.271,0.341,1,purple
